Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39354593,The cyborg: corpo e corporeità nell'epoca del post-umano,Paolo Benanti,"Benanti, Paolo",,"=""8830812609""","=""9788830812604""",4,4.00,Cittadella,Paperback,0,2012,,2018/08/08,2018/03/23,"morale, filosofia","morale (#2), filosofia (#15)",read,,,,2,0
40730753,Mistica e mistero cristiano,Henri de Lubac,"Lubac, Henri de",,"=""8816300477""","=""9788816300477""",4,4.50,Jaca Book,Paperback,,2018,1975,2018/07/30,2018/07/06,"tomismo, religione","tomismo (#7), religione (#29)",read,,,,1,0
40024300,Il riflesso. La filosofia dove non te l'aspetti o il rosario filosofico,Giuseppe Barzaghi,"Barzaghi, Giuseppe",,"=""8870949214""","=""9788870949216""",5,5.00,ESD,Paperback,0,2018,,2018/08/17,2018/05/02,"filosofia, tomismo","filosofia (#14), tomismo (#8)",read,,,,1,0
33539213,"Elementi di filosofia, Vol. 2: Metafisica",Sofia Vanni Rovighi,"Rovighi, Sofia Vanni",,"=""""","=""""",5,3.83,La Scuola,Paperback,222,1974,,,2018/09/01,"filosofia, tomismo","filosofia (#9), tomismo (#6)",read,,,,1,0
15766569,Elementi di filosofia vol. 1,Sofia Vanni Rovighi,"Rovighi, Sofia Vanni",,"=""8835033209""","=""9788835033202""",5,4.14,La Scuola,Paperback,224,2013,1962,2019/01/01,2018/09/01,"tomismo, filosofia","tomismo (#5), filosofia (#13)",read,,,,1,0
33539224,"Elementi di filosofia, Vol. 3: La natura e l'uomo (filosofia della natura, psicologia ed etica)",Sofia Vanni Rovighi,"Rovighi, Sofia Vanni",,"=""""","=""""",5,4.00,La Scuola,Paperback,278,1976,,2019/01/16,2018/09/01,"filosofia, tomismo","filosofia (#4), tomismo (#4)",read,,,,1,0
42073635,"Pagine di filosofia, un'antropologia ragionata e commentata",Roberto Coggi,"Coggi, Roberto",,"=""8870940004""","=""9788870940008""",5,5.00,ESD,Paperback,,1993,,2018/10/20,2018/09/26,"filosofia, tomismo","filosofia (#12), tomismo (#3)",read,,,,1,0
25031441,Le lettere di Berlicche e Il brindisi di Berlicche,C.S. Lewis,"Lewis, C.S.",Alberto Castelli,"=""8816502495""","=""9788816502499""",5,4.27,Jaca Book,Paperback,256,2010,1942,,2015/02/27,,,read,,,,1,0
36311758,"Sermoni sulla Chiesa, Conferenze sulla dottrina della giustificazione, Sermoni Penitenziali",John Henry Newman,"Newman, John Henry",,"=""8870945189""","=""9788870945188""",0,0.0,ESD,Hardcover,0,2004,,,2017/09/26,stopped,stopped (#6),stopped,,true,,0,0
41829008,La vita intellettuale,Antonin Sertillanges,"Sertillanges, Antonin","Maria Pia Flick, Armando Rigobello","=""8838240612""","=""9788838240614""",3,4.41,Studium,Paperback,229,2014,1921,2016/03/19,2016/03/05,,,read,,,,1,0
22483212,Cultural Theory and Popular Culture: An Introduction,John  Storey,"Storey, John",,"=""1317860454""","=""9781317860457""",3,3.64,Routledge,Kindle Edition,296,2014,1993,2017/11/07,2017/10/27,,,read,,,,1,0
9697838,Nietzsche,Martin Heidegger,"Heidegger, Martin",Franco Volpi,"=""8845911861""","=""9788845911866""",0,4.38,Adelphi,Paperback,973,1994,1961,,2019/03/02,to-read,to-read (#42),to-read,,,,0,0
36311767,"Sermoni di attualità, Sermoni di Oxford",John Henry Newman,"Newman, John Henry",,"=""8870945170""","=""9788870945171""",4,4.00,ESD,Hardcover,0,2004,,2019/02/25,2017/09/26,"apologesi, religione","apologesi (#9), religione (#27)",read,,true,,1,0
26177316,Teoria dei sentimenti morali,Adam Smith,"Smith, Adam",Stefania Di Pietro,"=""8858657241""","=""9788858657249""",0,4.07,BUR,Kindle Edition,660,2013,1759,,2019/02/20,to-read,to-read (#38),to-read,,,,0,0
12432309,Il nichilismo europeo,Martin Heidegger,"Heidegger, Martin",,"=""8845917878""","=""9788845917875""",0,4.10,Adelphi,Paperback,316,2003,1982,,2019/02/16,to-read,to-read (#36),to-read,,,,0,0
7312831,L'ospite inquietante. Il nichilismo e i giovani,Umberto Galimberti,"Galimberti, Umberto",,"=""8807171430""","=""9788807171437""",0,3.60,Feltrinelli,Paperback,180,2007,2007,,2019/02/16,to-read,to-read (#35),to-read,,,,0,0
18832667,Cammino di perfezione,Teresa d'Avila,"d'Avila, Teresa",,"=""1490960597""","=""9781490960593""",4,4.18,CreateSpace Independent Publishing Platform,Paperback,268,2013,1583,,2014/06/18,spirituale,spirituale (#11),read,,,,1,0
18831875,Il castello interiore,Teresa de Ávila,"Ávila, Teresa de",Teresa d'Avila,"=""1490526943""","=""9781490526942""",5,4.16,CreateSpace Independent Publishing Platform,Paperback,264,2013,1588,2014/06/17,2014/05/15,"religione, spirituale","religione (#6), spirituale (#1)",read,,,,1,0
19375642,Il libro della mia vita,Teresa d'Avila,"d'Avila, Teresa",,"=""""","=""""",5,4.15,Nemo Editrice (Nuove Edizioni Milano Ovest),Kindle Edition,332,2013,1565,,2014/10/27,"spirituale, religione","spirituale (#10), religione (#24)",read,,,,1,0
36321817,Liquidation World: On the Art of Living Absently,Alexi Kukuljevic,"Kukuljevic, Alexi",,"=""""","=""""",0,4.50,The MIT Press,Kindle Edition,221,2017,,,2019/02/13,to-read,to-read (#34),to-read,,,,0,0
29418303,The Age of Nothing: How We Have Sought To Live Since The Death of God,Peter Watson,"Watson, Peter",,"=""0753828103""","=""9780753828106""",0,3.70,W&N,Paperback,624,2016,,,2019/02/13,to-read,to-read (#33),to-read,,,,0,0
9652008,Intelligenza emotiva,Daniel Goleman,"Goleman, Daniel",,"=""8817112992""","=""9788817112994""",0,4.05,Bur,Paperback,400,1999,1995,,2019/02/11,to-read,to-read (#32),to-read,,,,0,0
43919765,Maria. Pagine scelte,John Henry Newman,"Newman, John Henry",,"=""8831518127""","=""9788831518123""",0,0.0,Paoline Editoriale Libri,Hardcover,,1999,,,2019/02/11,to-read,to-read (#31),to-read,,,,0,0
